seq_len,k,preftab_time,preftab_size
100000,5,0.48186802864074707,37120
100000,10,0.7844202518463135,5061368
100000,20,0.7925713062286377,9588256
100000,30,0.7726972103118896,13585704
250000,5,1.2320613861083984,37120
250000,10,2.046964168548584,11305648
250000,20,2.0167429447174072,23961856
250000,30,2.055361032485962,33971696
500000,5,2.501574993133545,37120
500000,10,3.5237319469451904,19149736
500000,20,4.057455062866211,47724736
500000,30,3.996901035308838,67697656
1000000,5,4.618282794952393,37120
1000000,10,6.867812156677246,29206608
1000000,20,7.861622095108032,94963168
1000000,30,7.864496946334839,134772856
2000000,5,9.226781845092773,37120
2000000,10,11.841248035430908,40340696
2000000,20,15.72735595703125,190106560
2000000,30,15.799591064453125,269740072
