seq_len,k,method,query_size,query_time
100000,10,naive,47,8.428293811388252e-05
100000,10,naive,37,8.095624083179539e-05
100000,10,naive,29,8.856759089209167e-05
100000,10,naive,28,8.610478282844934e-05
100000,10,naive,59,8.582779270434669e-05
100000,10,naive,51,8.578178210136217e-05
100000,10,naive,48,8.631023493680087e-05
100000,10,naive,34,8.376771934860422e-05
100000,10,naive,45,8.35088737906283e-05
100000,10,naive,40,8.177078836332492e-05
100000,10,naive,21,8.503335421202612e-05
100000,10,naive,35,8.312498385480825e-05
100000,10,naive,46,8.673313235448411e-05
100000,10,naive,38,8.82437734892874e-05
100000,10,naive,53,8.534483893220778e-05
100000,10,naive,55,8.77260663020561e-05
100000,10,naive,30,8.795413185148204e-05
100000,10,naive,26,8.834668291293509e-05
100000,10,naive,58,8.832178418598478e-05
100000,10,naive,25,8.512195199728012e-05
100000,10,naive,32,9.124605487491085e-05
100000,10,naive,31,9.022220488517516e-05
100000,10,naive,44,8.552636557478246e-05
100000,10,naive,42,8.35570883243642e-05
100000,10,naive,41,8.494871899597627e-05
100000,10,naive,50,8.59919425362868e-05
100000,10,naive,27,8.813266096443965e-05
100000,10,naive,57,8.596022298016886e-05
100000,10,naive,43,8.845134657256458e-05
100000,10,naive,33,8.402909750140595e-05
100000,10,naive,54,8.767981861912927e-05
100000,10,naive,22,8.580032805824994e-05
100000,10,naive,39,8.925855399135605e-05
100000,10,naive,49,8.876099545731503e-05
100000,10,naive,56,8.255984926004015e-05
100000,10,naive,24,9.077236834300091e-05
100000,10,naive,20,8.829181412776627e-05
100000,10,naive,36,8.698701858520508e-05
100000,10,naive,23,9.104655339167668e-05
100000,10,naive,52,8.747104770881085e-05
250000,10,naive,47,7.521515050210243e-05
250000,10,naive,37,7.557464858232918e-05
250000,10,naive,29,7.451428902729621e-05
250000,10,naive,28,7.126714191297545e-05
250000,10,naive,59,7.237886127672697e-05
250000,10,naive,51,7.016536517020983e-05
250000,10,naive,48,7.423216646367854e-05
250000,10,naive,34,7.296705844512046e-05
250000,10,naive,45,7.001558939615886e-05
250000,10,naive,40,7.161473840232787e-05
250000,10,naive,21,7.403580868830446e-05
250000,10,naive,35,7.083801807704308e-05
250000,10,naive,46,7.351666442618882e-05
250000,10,naive,38,7.309155030684038e-05
250000,10,naive,53,7.57982640741617e-05
250000,10,naive,55,7.32264259370301e-05
250000,10,naive,30,7.516078734665774e-05
250000,10,naive,26,7.680954971933753e-05
250000,10,naive,58,7.841416767665319e-05
250000,10,naive,25,7.502175867557526e-05
250000,10,naive,32,7.45250970990826e-05
250000,10,naive,31,7.825897585961127e-05
250000,10,naive,44,7.604001983394468e-05
250000,10,naive,42,6.943966480011636e-05
250000,10,naive,41,7.509826717520118e-05
250000,10,naive,50,7.864449528737681e-05
250000,10,naive,27,7.417798042297363e-05
250000,10,naive,57,7.399048392228254e-05
250000,10,naive,43,7.542785333127391e-05
250000,10,naive,33,7.204879582624027e-05
250000,10,naive,54,7.418052170627802e-05
250000,10,naive,22,7.19684786564402e-05
