seq_len,k,method,query_time
100000,0,naive,1.0490119457244873
100000,0,simpaccel,2.9251129627227783
100000,5,naive,0.5446181297302246
100000,5,simpaccel,1.394052267074585
100000,10,naive,1.0573797225952148
100000,10,simpaccel,2.3800997734069824
100000,20,naive,0.9311721324920654
100000,20,simpaccel,2.8451790809631348
100000,30,naive,0.9611809253692627
100000,30,simpaccel,2.8497941493988037
250000,0,naive,1.0679070949554443
250000,0,simpaccel,3.184335231781006
250000,5,naive,0.5631790161132812
250000,5,simpaccel,1.6315512657165527
250000,10,naive,0.6988348960876465
250000,10,simpaccel,2.0628559589385986
250000,20,naive,0.9727749824523926
250000,20,simpaccel,2.9180822372436523
250000,30,naive,0.9955582618713379
250000,30,simpaccel,2.9880430698394775
500000,0,naive,1.163243055343628
500000,0,simpaccel,3.530832052230835
500000,5,naive,0.6319980621337891
500000,5,simpaccel,1.8408029079437256
500000,10,naive,0.5522239208221436
500000,10,simpaccel,1.606367826461792
500000,20,naive,0.9802582263946533
500000,20,simpaccel,2.9003100395202637
500000,30,naive,1.029973030090332
500000,30,simpaccel,3.057039737701416
1000000,0,naive,1.3475189208984375
1000000,0,simpaccel,4.002007961273193
1000000,5,naive,0.743598222732544
1000000,5,simpaccel,2.162242889404297
1000000,10,naive,0.411268949508667
1000000,10,simpaccel,1.1595067977905273
1000000,20,naive,0.9598598480224609
1000000,20,simpaccel,2.7628700733184814
1000000,30,naive,1.044173002243042
1000000,30,simpaccel,3.0856080055236816
2000000,0,naive,1.6497209072113037
2000000,0,simpaccel,4.722728967666626
2000000,5,naive,0.9081661701202393
2000000,5,simpaccel,2.628401041030884
2000000,10,naive,0.3171091079711914
2000000,10,simpaccel,0.8562610149383545
2000000,20,naive,0.791438102722168
2000000,20,simpaccel,2.2318179607391357
2000000,30,naive,0.9788920879364014
2000000,30,simpaccel,2.8456878662109375
